Question,Option A,Option B,Option C,Option D,Answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,C
Who is known as the "Father of Computer Science"?,Bill Gates,Alan Turing,Steve Jobs,Charles Babbage,B
What is the chemical symbol for gold?,Go,Au,Ag,Fe,B
In which year did the Titanic sink?,1905,1912,1920,1931,B
Which planet is known as the "Red Planet"?,Venus,Mars,Jupiter,Saturn,B
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Hippopotamus,B
Who wrote the play "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B
What is the capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,C
Which gas is most abundant in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,B
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C
